testCaseType,testTitle,testConf_01,testConf_02,testConf_03,testConf_04,testConf_05,waitTime
//TC3-1. 当日予約しようとした場合は、予約確認画面で「宿泊日には、翌日以降の日付を指定してください。」と表示されることの確認
//EVENTWEEKDAY,reserveDate_weekDayTest,reserve_year,reserve_month,reserve_day,,,1000
EVENTTERM,reserveTermTest_1day,reserve_term,1,,,,1000
EVENTHEADCOUNT,reserveHeadCountTest_1people,headcount,1,,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_1,errorcheck_result,宿泊日には、翌日以降の日付を指定してください。,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-2. 3か月以上先を初日とした場合は、予約確認画面で「宿泊日には、3ヶ月以内のお日にちのみ指定できます。」と表示されることの確認
EVENT3MONTHAGO,reserveDate_weekDayTest,reserve_year,reserve_month,reserve_day,,,1000
EVENTTERM,reserveTermTest_1day,reserve_term,1,,,,1000
EVENTHEADCOUNT,reserveHeadCountTest_1people,headcount,1,,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_2,errorcheck_result,宿泊日には、3ヶ月以内のお日にちのみ指定できます。,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-3. 宿泊日をあり得ない日にち（32日）にした場合「宿泊日が間違っています」と表示されることの確認
//EVENTWEEKDAY,reserveDate_weekDayTest,reserve_year,reserve_month,reserve_day,,,1000
EVENTILLUGALINPUT,,reserve_year,reserve_month,reserve_day,32,,1000
EVENTTERM,reserveTermTest_1day,reserve_term,1,,,,1000
EVENTHEADCOUNT,reserveHeadCountTest_1people,headcount,1,,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_3,errorcheck_result,宿泊日が間違っています,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-4. 宿泊日を空白にした場合「宿泊日が指定されていません」と表示されることの確認
EVENTBRANKINPUT,,,,reserve_day,,,1000
EVENTTERM,reserveTermTest_1day,reserve_term,1,,,,1000
EVENTHEADCOUNT,reserveHeadCountTest_1people,headcount,1,,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
//EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

